medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
57C1D8BB16ED685B9564402E81DFB7B4,77FB4D850926A2F756DE6B9690A3D3B3,VTS,2013-01-13 04:44:00,CRD,15.5,0.5,0.5,4.8,0,21.3
C1D37CC0BD6DD836B29936DADD869A8D,61CC2E540693987C29CD39BAC79F56FB,VTS,2013-01-13 04:52:00,CRD,5,0.5,0.5,1,0,7
BB02801F232FE86D4F1897BAF69D4AA8,72C8F74ECFE27FD5C6E1271285C24461,VTS,2013-01-13 04:47:00,CRD,13,0.5,0.5,2.7,0,16.7
49B8CFC71F0ED39C7B3F68F603DB9D05,BA962BC2B4E4C31E267E1E60081AD0CA,VTS,2013-01-13 09:21:00,CSH,8,0,0.5,0,0,8.5
A691BE98A38B8B327AD3801DD742219D,8E6A36BB7E81B17D9552088A0687E9ED,VTS,2013-01-13 09:20:00,CSH,10.5,0,0.5,0,0,11
517C6B330DBB3F055D007B07512628B3,D381717FB7BF1F2C15D6443ADCE8F825,VTS,2013-01-13 09:30:00,CSH,4.5,0,0.5,0,0,5
4197B89CFD672627E6FD0760515462F2,87D7BBCB6F1E6166442E9F48A346B60A,VTS,2013-01-13 09:13:00,CSH,15,0,0.5,0,0,15.5
2FF842560A0D55E0849A07E81FAADDAD,7AC69150095D3F41D1D01ED47E5495D7,VTS,2013-01-13 09:25:00,CSH,8.5,0,0.5,0,0,9
CCC956ECAB138CFE94C42747548CA8E0,EC36A526BA39BA4E1256379A995A154D,VTS,2013-01-13 09:25:00,CSH,8.5,0,0.5,0,0,9
D7D905C58B59346320E8E881A08945C0,B4D8DEFD9B0E43F51D52F910B63FCFB5,VTS,2013-01-13 09:23:00,CRD,7,0,0.5,1.4,0,8.9
C16E47EAB100DF63A2053EC7251509FD,19D3AB52C87BCC63E55E0B5CB475347E,VTS,2013-01-13 09:24:00,CRD,8,0,0.5,1,0,9.5
4F6E2CAB7448FC65FF6FE55439DCAF79,4CEC9B9F46ABAB3ADFDF74150503329B,VTS,2013-01-13 09:23:00,CSH,8,0,0.5,0,0,8.5
2A68F4B0B63E942838A19379ABD49000,39544E75E928C9E594F3A4F4F2EC0549,VTS,2013-01-13 09:26:00,CSH,5.5,0,0.5,0,0,6
19805AB6F3EC7675A4FC83D9BF913944,0E5A6B39ABF4895327F78123B3AA055F,VTS,2013-01-13 09:15:00,CSH,14,0,0.5,0,0,14.5
4CBED68ACF35ED2C41579BD7A0B28F9C,713B89C90F55043D93E009A825967218,VTS,2013-01-13 09:28:00,CSH,4,0,0.5,0,0,4.5
6D1DAF9DD1F6CCE38D69FA31C687B53A,4766B31C7FA9B61550B3BDF0CB8A15CC,VTS,2013-01-13 09:20:00,CSH,9,0,0.5,0,0,9.5
BC7BB39BFE3031C1C9460C7A087F1E11,2A6FA99F2ED89D26ADE84D042C5E069D,VTS,2013-01-13 09:25:00,CRD,6.5,0,0.5,1,0,8
024F5B8C15D735F62CA2EADAE3C5D2FC,A6C3C194825ECA7051D5AD637170B388,VTS,2013-01-13 09:43:00,CSH,4.5,0,0.5,0,0,5
6A28BA15FDA8A72CEFA2CC1EE50DE01E,B34624D02E4C5B17A2CB4034F20E8878,VTS,2013-01-13 09:19:00,CSH,19,0,0.5,0,0,19.5
6337221680B06AFC43658D3DF883D2C6,D3F0F3BA89898C296A87AF6758285F05,VTS,2013-01-13 09:20:00,CSH,17,0,0.5,0,0,17.5
E9ACD076FF53336D7C6793D9A8174D17,C4F159F5CAA2B3557016D46BA32E8475,VTS,2013-01-13 09:30:00,CRD,5.5,0,0.5,1.65,0,7.65
C5CE1864D4E5AFEE683CC5B2FAA05A80,8D88CA1C0874002D34DFD22582EEC897,VTS,2013-01-13 09:31:00,CRD,6,0,0.5,1.5,0,8
94A3B588A3B481618BFFA8461DB1FB78,D7151364A40D1B514BB63D9C04B2273A,VTS,2013-01-13 09:15:00,CRD,32,0,0.5,6.4,4.8,43.7
6DC6AA4752E8CAD1E1770E21259FB5B7,E67B2DFBA6724AF7F11120D409762726,VTS,2013-01-13 09:21:00,CSH,24,0,0.5,0,4.8,29.3
5D813194D05170E70DAAFAF07BB24FD9,D9E2D51A32AC64914D9F344CF6AD0D85,VTS,2013-01-13 09:09:00,CSH,52,0,0.5,0,4.8,57.3
C82B849E34A57B83657B3E20DAFB2C74,277A9771D27445BBC28132965FF2E79D,VTS,2013-01-13 09:27:00,CRD,10,0,0.5,2,0,12.5
B208B9A7887DA60032BA923A76FD4185,948BDABFF16D078809BB143877F9029C,VTS,2013-01-13 09:29:00,CSH,10,0,0.5,0,0,10.5
0310297769C8B049C0EA8E87C697F755,FB5C18116CBF874D51620888AA9E429B,VTS,2013-01-13 09:31:00,CSH,6.5,0,0.5,0,0,7
888051B3BA36E5A63389981E0D15D6B3,5E71E1B741E536949AD3844D5174CBAE,VTS,2013-01-13 09:17:00,CSH,14.5,0,0.5,0,0,15
