pickup_time,dropoff_time,pickup_long,pickup_lat,dropoff_long,dropoff_lat,id_taxi,distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,payment_type,passengers,field1,field2,field3,field4
2013-01-06 00:15:44,2013-01-06 00:27:33,-74.005058,40.728676,-73.977501,40.757061,B33E71CD9E8FE1BE3B70FEB6E807DD15,3.40,12.5,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 10:59:25,2013-01-08 11:04:35,-73.960358,40.769138,-73.961914,40.775684,7A9728FFD700148BF60616DA97FFC3C3,.60,5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 20:49:38,2013-01-07 21:11:19,-73.874374,40.774078,-73.978325,40.764835,4C005EEBAA7BF26B84B21586332488A2,9.50,28.5,0.5,0.5,0,4.8,CSH,2,0,0,0,0
2013-01-07 18:42:42,2013-01-07 18:49:53,0,0,0,0,DDB3F3E0172B1FBF0C9E39CA773CC6E3,1.00,6.5,1,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 20:19:22,2013-01-07 20:23:10,0,0,0,0,DDB3F3E0172B1FBF0C9E39CA773CC6E3,1.00,5.5,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 10:17:06,2013-01-08 10:36:58,-73.985962,40.758213,-73.950424,40.783554,32D306FD3A4D7CEDCFD8D644294DD5B7,3.60,16.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-01 23:26:42,2013-01-01 23:49:24,-73.783318,40.648636,-73.964249,40.719543,0A3EF18FFD7FA5327C66C6B1CE068F3A,18.90,50.5,0.5,0.5,0,0,CSH,2,0,0,0,0
2013-01-10 14:11:57,2013-01-10 14:29:37,-74.00843,40.707649,-73.992279,40.749187,B14118AD4BF381D80035EF546CE7AEFA,3.30,14,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-10 12:08:05,2013-01-10 12:12:11,-73.987953,40.761723,-73.989838,40.756985,C6CE309A20A523E64FDCDECF150A2EC1,.80,5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-10 07:07:59,2013-01-10 07:19:41,-73.994026,40.719303,-73.978729,40.762787,C6CE309A20A523E64FDCDECF150A2EC1,3.80,13,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 03:13:19,2013-01-08 03:34:17,-73.997856,40.756405,-73.872955,40.774406,5E162F2D7F569949769648C56A23C525,9.10,26.5,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 10:21:01,2013-01-08 10:24:02,-73.988632,40.73122,-73.986717,40.738674,82420BD631D2BB88E2F213A8CA15BECE,.60,4.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-10 10:08:28,2013-01-10 10:31:23,-73.990204,40.748875,-73.958092,40.765244,A5A69FAD94C3DC7854F9DDEA994B6380,2.50,15.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-10 13:45:16,2013-01-10 13:55:42,-73.994225,40.743343,-73.990562,40.724537,A5A69FAD94C3DC7854F9DDEA994B6380,1.80,9,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-01 23:33:10,2013-01-01 23:36:18,-73.983711,40.756092,-73.98494,40.748222,1ABD0BB8B7278A49B4F6502B59E1CEFB,.80,5,0.5,0.5,0,0,CSH,2,0,0,0,0
2013-01-08 08:04:43,2013-01-08 08:13:45,-74.000961,40.747326,-73.981567,40.742344,4728FA63A46613319446ED726626FED3,1.40,8.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 12:48:13,2013-01-08 12:55:53,-74.000534,40.742233,-74.005173,40.728985,CD847FE5884F10A28217E9FBA11B275B,1.00,7,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 11:20:30,2013-01-08 11:38:54,-73.991524,40.750286,-73.970345,40.751801,CD847FE5884F10A28217E9FBA11B275B,2.00,13,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-10 16:16:38,2013-01-10 16:22:03,-74.006844,40.741451,-73.994499,40.75061,961D9C9506D105D3A7E88229F0487033,1.10,6,1,0.5,0,0,CSH,2,0,0,0,0
2013-01-07 15:32:02,2013-01-07 15:35:27,-73.970627,40.788956,-73.96949,40.797729,24BBC0F0660705A705213997B408E775,.80,5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 18:42:01,2013-01-07 18:46:35,-73.985481,40.75679,-73.99131,40.749985,E71CDEFCB364DA0D385629612EE30642,.60,5,1,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 20:44:18,2013-01-07 20:46:56,-73.988838,40.723125,-73.99382,40.721088,B4B73C7B5D426BF5D77586628774409D,.40,4,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 00:38:28,2013-01-08 00:54:13,-73.988708,40.720913,-73.940193,40.79808,BCE59CF7BF7FC3BCAF75E0DA610454AE,6.20,19,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 03:50:07,2013-01-08 03:53:21,-73.981224,40.767769,-73.970879,40.758625,8C019CD008A70CC21058D22CF873E42E,1.00,5,0.5,0.5,0,0,CSH,2,0,0,0,0
2013-01-07 19:41:25,2013-01-07 19:46:57,-73.990692,40.718311,-73.979843,40.739082,8C019CD008A70CC21058D22CF873E42E,1.60,7,1,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 09:54:33,2013-01-07 10:03:42,-73.952293,40.766174,-73.956772,40.783718,927778B147439831E9A9A478457D25E1,1.70,8.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 15:47:04,2013-01-08 16:06:00,-73.96151,40.771465,-73.991211,40.739906,24929E5F008DBC4C0E551B957F619910,2.90,14.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 10:38:07,2013-01-08 11:16:45,-74.007858,40.705116,-73.789879,40.643303,24929E5F008DBC4C0E551B957F619910,20.00,52,0,0.5,0,4.8,CSH,2,0,0,0,0
2013-01-10 12:44:00,2013-01-10 12:46:33,-73.995338,40.744701,-73.993591,40.737778,BDEEBD1061513B74A562C671996AC37D,.60,4,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 07:00:28,2013-01-07 07:03:37,-73.989571,40.756386,-73.980858,40.761368,09C6A58617D39C6AF257965FE1EADADD,.80,4.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 19:28:53,2013-01-07 19:37:19,-73.99514,40.754845,-74.00518,40.728897,F1C59489D7073DD8F1838DD0E905F47D,1.90,8.5,1,0.5,0,0,CSH,2,0,0,0,0
2013-01-08 11:19:08,2013-01-08 11:35:19,-73.993645,40.75573,-73.984528,40.762451,826C0A320CFC98F461EA887C2F9D1509,1.80,11.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-05 09:50:38,2013-01-05 09:57:22,-73.999763,40.743454,-73.978607,40.752537,84EF36B5618476EF69CAA413F8464108,1.70,7.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-05 19:52:03,2013-01-05 20:08:02,-73.999146,40.734352,-73.983322,40.773598,251012565308E6E0E67550CFBBD253AB,3.50,14,0,0.5,0,0,CSH,4,0,0,0,0
2013-01-07 16:31:19,2013-01-07 16:35:07,-73.990356,40.749485,-73.990852,40.756248,B35B40A7C6563AAC24DF7566CD3434E1,.60,4.5,1,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 18:03:30,2013-01-07 18:14:02,-73.982033,40.783218,-73.957726,40.80088,281BD3C8825FF093DCEC21A7E65697CE,.50,4,1,0.5,0,0,CSH,1,0,0,0,0
2013-01-10 12:19:05,2013-01-10 12:25:40,-73.964081,40.76532,-73.967987,40.762878,BDEEBD1061513B74A562C671996AC37D,.40,5.5,0,0.5,0,0,CSH,1,0,0,0,0
